Resize/Quantization,Ratio/N_Bits,Classifier,Compressor/Ctx,Error

original,ncd,gzip,0.205625
original,ncd,bzip2,0.415625
original,ncd,lzma,0.59625
original,ncd,png,0.5862499999999999
original,ncd,jpeg,0.9625

resize,0.5,ncd,gzip,0.33062500000000006
resize,0.5,ncd,bzip2,0.428125
resize,0.5,ncd,lzma,0.3825
resize,0.5,ncd,png,0.865625
resize,0.5,ncd,jpeg,0.975625


resize,0.25,ncd,gzip,0.45437500000000003
resize,0.25,ncd,bzip2,0.643125
resize,0.25,ncd,lzma,0.723125
resize,0.25,ncd,png,0.90625
resize,0.25,ncd,jpeg,0.97625


resize,0.1,ncd,gzip,0.7300000000000001
resize,0.1,ncd,bzip2,0.8612500000000001
resize,0.1,ncd,lzma,0.944375
resize,0.1,ncd,png,0.9243750000000001
resize,0.1,ncd,jpeg,0.9768749999999999


quantization,4,ncd,gzip,0.803125
quantization,4,ncd,bzip2,0.8987499999999999
quantization,4,ncd,lzma,0.765
quantization,4,ncd,png,0.7125
quantization,4,ncd,jpeg,0.959375


quantization,6,ncd,gzip,0.665
quantization,6,ncd,bzip2,0.75875
quantization,6,ncd,lzma,0.9612499999999999
quantization,6,ncd,png,0.58375
quantization,6,ncd,jpeg,0.96
