Resize/Quantization,Ratio/N_Bits,Classifier,Compressor/Ctx,Error
original,original,ncd,gzip,0.256875
original,original,ncd,bzip2,0.323125
original,original,ncd,lzma,0.15625
original,original,ncd,png,0.4574999999999999
original,original,ncd,jpeg,0.9587499999999999
resize,0.5,ncd,gzip,0.261875
resize,0.5,ncd,bzip2,0.45375
resize,0.5,ncd,lzma,0.19687499999999997
resize,0.5,ncd,png,0.754375
resize,0.5,ncd,jpeg,0.975
resize,0.25,ncd,gzip,0.48125
resize,0.25,ncd,bzip2,0.8043750000000001
resize,0.25,ncd,lzma,0.509375
resize,0.25,ncd,png,0.8393749999999999
resize,0.25,ncd,jpeg,0.9768749999999999
resize,0.1,ncd,gzip,0.7818750000000001
resize,0.1,ncd,bzip2,0.8825000000000001
resize,0.1,ncd,lzma,0.8925000000000001
resize,0.1,ncd,png,0.9106249999999999
resize,0.1,ncd,jpeg,0.9724999999999999
quantization,4,ncd,gzip,0.785625
quantization,4,ncd,bzip2,0.936875
quantization,4,ncd,lzma,0.595
quantization,4,ncd,png,0.6275
quantization,4,ncd,jpeg,0.959375
quantization,6,ncd,gzip,0.62625
quantization,6,ncd,bzip2,0.8012500000000001
quantization,6,ncd,lzma,0.731875
quantization,6,ncd,png,0.43812500000000004
quantization,6,ncd,jpeg,0.9493750000000001

original,1,nccd,ctx1,0.5625
resize,0.5,nccd,ctx1,0.5625
resize,0.25,nccd,ctx1,0.4375
resize,0.1,nccd,ctx1,0.5
quantization,4,nccd,ctx1,0.0625
quantization,6,nccd,ctx1,0.1875
